stage,base_model_type,base_params,boundary_model_type,boundary_params,boundary_apply,boundary_p2_sample_weight,validation_objective,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_off_by_one_accuracy,validation_mae,validation_high_priority_recall_p1_p2,validation_low_priority_recall_p4_p5,validation_p1_recall,validation_p2_recall,validation_p3_recall,validation_p4_recall,validation_p5_recall,natural_accuracy,natural_macro_f1,natural_weighted_f1,natural_off_by_one_accuracy,natural_mae,natural_high_priority_recall_p1_p2,natural_low_priority_recall_p4_p5,natural_p1_recall,natural_p2_recall,natural_p3_recall,natural_p4_recall,natural_p5_recall
boundary_refined,sgd_log,alpha=0.05,sgd_log,alpha=0.03,base_1_2_3,1.3,1.8722190604002213,0.696,0.6949390604002212,0.6949390604002212,0.8992,0.4472,0.878,0.796,0.576,0.704,0.88,0.616,0.704,0.7236180904522613,0.7234943394564356,0.7236517678212625,0.9025125628140703,0.40904522613065325,0.8765743073047859,0.8190954773869347,0.6030150753768844,0.7171717171717171,0.865,0.6984924623115578,0.7336683417085427
boundary_refined,sgd_log,alpha=0.05,sgd_log,alpha=0.03,base_1_2,1.3,1.8710892178300411,0.6976,0.6956492178300405,0.6956492178300405,0.9,0.4448,0.868,0.796,0.576,0.692,0.9,0.616,0.704,0.7256281407035176,0.7247617219595159,0.7249199008511792,0.9015075376884422,0.40703517587939697,0.8690176322418136,0.8190954773869347,0.6030150753768844,0.7070707070707071,0.885,0.6984924623115578,0.7336683417085427
boundary_refined,sgd_log,alpha=0.05,sgd_log,alpha=0.03,base_1_2_3,1.4,1.8698527758601238,0.696,0.6948127758601241,0.6948127758601241,0.8984,0.448,0.88,0.796,0.564,0.72,0.876,0.616,0.704,0.7236180904522613,0.7236469829833762,0.723792538933994,0.9015075376884422,0.4100502512562814,0.8765743073047859,0.8190954773869347,0.5979899497487438,0.7323232323232324,0.855,0.6984924623115578,0.7336683417085427
boundary_refined,sgd_log,alpha=0.05,sgd_log,alpha=0.1,base_1_2,1.4,1.8682386352059166,0.6952,0.6934386352059165,0.6934386352059164,0.8992,0.4496,0.868,0.796,0.6,0.66,0.896,0.616,0.704,0.7306532663316583,0.7301955496493927,0.7303389596385833,0.8994974874371859,0.4040201005025126,0.8690176322418136,0.8190954773869347,0.6432160804020101,0.702020202020202,0.875,0.6984924623115578,0.7336683417085427
boundary_refined,sgd_log,alpha=0.1,sgd_log,alpha=0.03,base_1_2_3,1.3,1.8670855404407887,0.6944,0.6933255404407885,0.6933255404407885,0.8976,0.452,0.876,0.796,0.576,0.704,0.872,0.608,0.712,0.7206030150753768,0.7204220865573066,0.7205753771095096,0.9035175879396985,0.4100502512562814,0.8765743073047859,0.8140703517587939,0.6030150753768844,0.7171717171717171,0.865,0.6834170854271356,0.7336683417085427
boundary_refined,sgd_log,alpha=0.05,sgd_log,alpha=0.1,base_1_2,1.2,1.8659597250369184,0.696,0.6941197250369185,0.6941197250369185,0.9008,0.4472,0.868,0.796,0.612,0.648,0.9,0.616,0.704,0.7306532663316583,0.7301741515502929,0.7303224860932392,0.8994974874371859,0.4040201005025126,0.8690176322418136,0.8190954773869347,0.6582914572864321,0.6868686868686869,0.875,0.6984924623115578,0.7336683417085427
boundary_refined,sgd_log,alpha=0.05,sgd_log,alpha=0.03,base_1_2,1.4,1.865003358257121,0.6968,0.6947633582571215,0.6947633582571215,0.8992,0.4464,0.868,0.796,0.564,0.704,0.896,0.616,0.704,0.7276381909547739,0.726745180883327,0.7268954930107085,0.9015075376884422,0.4050251256281407,0.8690176322418136,0.8190954773869347,0.5979899497487438,0.7222222222222222,0.885,0.6984924623115578,0.7336683417085427
boundary_refined,sgd_log,alpha=0.1,sgd_log,alpha=0.03,base_1_2_3,1.4,1.8647163149336876,0.6944,0.6931963149336879,0.6931963149336878,0.8968,0.4528,0.878,0.796,0.564,0.72,0.868,0.608,0.712,0.7206030150753768,0.720581283861121,0.7207227123010265,0.9025125628140703,0.41105527638190953,0.8765743073047859,0.8140703517587939,0.5979899497487438,0.7323232323232324,0.855,0.6834170854271356,0.7336683417085427
boundary_refined,sgd_log,alpha=0.05,sgd_log,alpha=0.1,base_1_2,1.3,1.8644807646630748,0.6944,0.6926407646630746,0.6926407646630746,0.8992,0.4504,0.868,0.796,0.6,0.656,0.896,0.616,0.704,0.7316582914572864,0.7312183687641823,0.7313618131838329,0.8994974874371859,0.4030150753768844,0.8690176322418136,0.8190954773869347,0.6532663316582915,0.696969696969697,0.875,0.6984924623115578,0.7336683417085427
boundary_refined,sgd_log,alpha=0.05,sgd_log,alpha=0.1,base_1_2,1.1,1.8643608389189321,0.696,0.694120838918932,0.694120838918932,0.9008,0.4472,0.868,0.796,0.616,0.644,0.9,0.616,0.704,0.7296482412060301,0.7290901407101845,0.7292384752531308,0.8994974874371859,0.40603015075376886,0.8690176322418136,0.8190954773869347,0.6532663316582915,0.6868686868686869,0.875,0.6984924623115578,0.7336683417085427
