severity,grouping,rows,dominant_priority,dominant_share,entropy,normalized_entropy,unique_priorities,P1,P2,P3,P4,P5,product,component,severity_group,impact_keyword_group
,component,5086,P3,0.24007078254030673,2.2994991863271035,0.9903403948599249,5,890,1000,1221,1210,765,,ui,,
normal,severity,5909,P2,0.24471145709934,2.2956005627562677,0.9886613490792135,5,1163,1446,1388,829,1083,,,,
,product,5969,P5,0.27810353493047413,2.2810364106527468,0.9823889101800118,5,974,840,1331,1164,1660,platform,,,
,severity_group+impact_keyword_group,471,P2,0.2760084925690021,2.270022551666494,0.9776454993007067,5,56,130,108,82,95,,,normal,no_clear_impact_keyword
,product+component,2855,P3,0.3169877408056042,2.2362891464738763,0.963117312460255,5,404,344,905,545,657,platform,ui,,
,component,58,P1,0.27586206896551724,2.235296291301023,0.9626897130117451,5,16,14,14,8,6,,ant,,
,product+component,58,P1,0.27586206896551724,2.235296291301023,0.9626897130117451,5,16,14,14,8,6,platform,ant,,
normal,severity+product,3335,P5,0.29415292353823086,2.2270240704810695,0.9591270614213846,5,476,529,942,407,981,platform,,,
,product,3689,P2,0.28896719978313906,2.220647699807433,0.9563809080466626,5,936,1066,589,781,317,jdt,,,
,severity_group+impact_keyword_group,52,P2,0.34615384615384615,2.2167570672126375,0.954705303792008,5,11,18,9,6,8,,,major,no_clear_impact_keyword
,component,692,P2,0.2976878612716763,2.1713547406666716,0.9351515860666672,5,139,206,199,47,101,,core,,
,product+component,692,P2,0.2976878612716763,2.1713547406666716,0.9351515860666672,5,139,206,199,47,101,jdt,core,,
,severity_group+impact_keyword_group,30,P5,0.3,2.167530280029051,0.9335044805227695,5,2,4,8,7,9,,,minor,no_clear_impact_keyword
minor,severity+product,205,P4,0.4,2.1511559351350518,0.9264524340231153,5,21,36,37,82,29,jdt,,,
,product+component,265,P1,0.27547169811320754,2.140293232981085,0.9217741228480685,5,73,68,66,48,10,pde,ui,,
,product,283,P1,0.2791519434628975,2.138571424756488,0.9210325804082365,5,79,70,74,49,11,pde,,,
,component,277,P3,0.3935018050541516,2.120235290495234,0.9131356372162281,5,67,35,109,42,24,,resources,,
,product+component,277,P3,0.3935018050541516,2.120235290495234,0.9131356372162281,5,67,35,109,42,24,platform,resources,,
,component,126,P2,0.2777777777777778,2.1193639938021125,0.9127603901553738,5,32,35,33,22,4,,compare,,
,product+component,126,P2,0.2777777777777778,2.1193639938021125,0.9127603901553738,5,32,35,33,22,4,platform,compare,,
,product+component,1966,P4,0.3138351983723296,2.1124029990750586,0.9097624529055591,5,413,588,250,617,98,jdt,ui,,
minor,severity,412,P4,0.3713592233009709,2.100972025045806,0.9048394003552143,5,30,52,59,153,118,,,,
major,severity,708,P2,0.3601694915254237,2.0940319195707198,0.9018504596165379,5,218,255,104,73,58,,,,
normal,severity+product,2361,P2,0.3638288860652266,2.0820037732548418,0.8966702189612124,5,637,859,374,394,97,jdt,,,
,severity_group+impact_keyword_group,12,P3,0.4166666666666667,2.054585169337799,0.8848616689990428,5,2,1,5,3,1,,,normal,blocking
normal,severity+product,207,P3,0.3285024154589372,2.0354147289062694,0.8766054096972405,5,50,57,68,28,4,pde,,,
,component,235,P1,0.3829787234042553,2.0256620270591865,0.8724051496338229,5,90,70,31,35,9,,update  (deprecated - use eclipse>equinox>p2),,
,product+component,235,P1,0.3829787234042553,2.0256620270591865,0.8724051496338229,5,90,70,31,35,9,platform,update  (deprecated - use eclipse>equinox>p2),,
,component,790,P5,0.4544303797468354,2.0220969369947372,0.8708697489156443,5,119,43,116,153,359,,team,,
,product+component,790,P5,0.4544303797468354,2.0220969369947372,0.8708697489156443,5,119,43,116,153,359,platform,team,,
major,severity+product,308,P3,0.30194805194805197,1.9986756332040954,0.8607827424134993,5,91,75,93,47,2,jdt,,,
,component,58,P2,0.3448275862068966,1.9864000324344346,0.8554959289257387,5,15,20,1,16,6,,search,,
,product+component,58,P2,0.3448275862068966,1.9864000324344346,0.8554959289257387,5,15,20,1,16,6,platform,search,,
,severity_group+impact_keyword_group,90,P1,0.4888888888888889,1.9712147610910458,0.8489559885301574,5,44,16,15,9,6,,,normal,stack_trace
,component,150,P4,0.36666666666666664,1.9701702239960834,0.848506130889319,5,17,23,51,55,4,,user assistance,,
,product+component,150,P4,0.36666666666666664,1.9701702239960834,0.848506130889319,5,17,23,51,55,4,platform,user assistance,,
,severity_group+impact_keyword_group,204,P4,0.3872549019607843,1.9139449958656778,0.8242912431612247,5,3,17,43,79,62,,,enhancement,no_clear_impact_keyword
,component,706,P5,0.38243626062322944,1.9121723549736451,0.8235278082831439,5,65,131,10,230,270,,swt,,
,product+component,706,P5,0.38243626062322944,1.9121723549736451,0.8235278082831439,5,65,131,10,230,270,platform,swt,,
enhancement,severity+product,530,P4,0.42452830188679247,1.8686784332959425,0.8047959957978772,5,12,70,46,225,177,jdt,,,
enhancement,severity,2149,P4,0.41088878548161933,1.8644412779468678,0.8029711523161154,5,27,163,398,883,678,,,,
major,severity+product,386,P2,0.45077720207253885,1.8361625505066859,0.7907921673154823,5,122,174,11,23,56,platform,,,
,product+component,857,P1,0.4457409568261377,1.8326823253656657,0.7892933159304272,5,382,256,139,71,9,jdt,debug,,
minor,severity+product,195,P5,0.441025641025641,1.8298836020675855,0.7880879714134102,5,7,13,21,68,86,platform,,,
enhancement,severity+product,1598,P4,0.402377972465582,1.8263899745066325,0.7865833479202686,5,13,92,350,643,500,platform,,,
,component,1113,P1,0.4537286612758311,1.7990172914226497,0.774794574984425,5,505,361,140,93,14,,debug,,
trivial,severity+product,25,P5,0.48,1.7924876891689534,0.7719824283602149,4,3,4,0,6,12,jdt,,,
,product+component,97,P5,0.5773195876288659,1.687445248179757,0.7267431114233603,5,1,12,10,18,56,platform,text,,
,component,41,P1,0.4634146341463415,1.663271266628045,0.7163319442537393,5,19,3,1,2,16,,releng,,
,product+component,41,P1,0.4634146341463415,1.663271266628045,0.7163319442537393,5,19,3,1,2,16,platform,releng,,
trivial,severity,78,P5,0.5128205128205128,1.6575364683511893,0.7138621010706179,5,4,8,1,25,40,,,,
trivial,severity+product,49,P5,0.5306122448979592,1.4917512686092185,0.6424623018662359,5,1,3,1,18,26,platform,,,
,product+component,256,P1,0.48046875,1.4818664078276302,0.6382051240477868,5,123,105,1,22,5,platform,debug,,
,severity_group+impact_keyword_group,10,P5,0.5,1.360964047443681,0.5861353116146786,3,0,0,1,4,5,,,trivial,no_clear_impact_keyword
,severity_group+impact_keyword_group,13,P1,0.46153846153846156,1.3143204867061788,0.5660470234199639,3,6,6,0,0,1,,,major,stack_trace
