dupe_of,bug_ids,products,components,rows,dominant_priority,dominant_share,entropy,normalized_entropy,unique_priorities,P1,P2,P3,P4,P5
6513,"2844,11367,14563",platform,ui,3,P2,0.3333333333333333,1.584962500721156,0.6826061944859853,3,0,1,1,0,1
1546,"1616,1620,1722,5573",jdt,debug,4,P3,0.5,1.5,0.6460148371100897,3,1,1,2,0,0
2051,"2404,2610,2611,2758",platform,ui,4,P1,0.5,1.0,0.43067655807339306,2,2,0,2,0,0
1663,"1522,1664",jdt,debug,2,P2,0.5,1.0,0.43067655807339306,2,0,1,1,0,0
2135,"2785,24027",platform,ui,2,P3,0.5,1.0,0.43067655807339306,2,0,0,1,1,0
3035,"3094,5685",platform,resources,2,P2,0.5,1.0,0.43067655807339306,2,0,1,1,0,0
3106,"9894,10005",platform,resources,2,P1,0.5,1.0,0.43067655807339306,2,1,1,0,0,0
3435,"3308,3421",jdt,core,2,P2,0.5,1.0,0.43067655807339306,2,0,1,1,0,0
3840,"4008,5771",platform,ui,2,P2,0.5,1.0,0.43067655807339306,2,0,1,0,1,0
4133,"4276,11359",jdt,ui,2,P1,0.5,1.0,0.43067655807339306,2,1,0,0,1,0
4383,"1604,1732",jdt,debug,2,P2,0.5,1.0,0.43067655807339306,2,0,1,1,0,0
5163,"1608,5510",jdt,debug,2,P2,0.5,1.0,0.43067655807339306,2,0,1,1,0,0
5640,"5565,5928",jdt,"debug,ui",2,P1,0.5,1.0,0.43067655807339306,2,1,0,0,0,1
7245,"3780,10402",jdt,debug,2,P1,0.5,1.0,0.43067655807339306,2,1,1,0,0,0
7743,"1965,2819",platform,ui,2,P2,0.5,1.0,0.43067655807339306,2,0,1,1,0,0
8772,"6949,11986",platform,debug,2,P1,0.5,1.0,0.43067655807339306,2,1,1,0,0,0
9211,"9856,12003",platform,swt,2,P1,0.5,1.0,0.43067655807339306,2,1,0,0,1,0
12665,"12842,15158","jdt,platform",debug,2,P1,0.5,1.0,0.43067655807339306,2,1,1,0,0,0
13131,"13203,13354","jdt,platform",ui,2,P1,0.5,1.0,0.43067655807339306,2,1,1,0,0,0
13554,"13640,15567",platform,debug,2,P1,0.5,1.0,0.43067655807339306,2,1,1,0,0,0
13585,"12841,19725",platform,ui,2,P4,0.5,1.0,0.43067655807339306,2,0,0,0,1,1
16036,"1536,25244",jdt,debug,2,P3,0.5,1.0,0.43067655807339306,2,0,0,1,1,0
5346,"1553,1606,7185",jdt,debug,3,P3,0.6666666666666666,0.9182958340544896,0.3954884891037233,2,1,0,2,0,0
6926,"7025,7090,7160","jdt,platform",ui,3,P1,0.6666666666666666,0.9182958340544896,0.3954884891037233,2,2,0,0,1,0
13467,"2593,4505,4518",platform,swt,3,P5,0.6666666666666666,0.9182958340544896,0.3954884891037233,2,0,0,1,0,2
