true_priority,predicted_priority,count,percent_of_true_class,percent_of_wrong_errors
P1 Blocker,P2 Critical,50,0.25125628140703515,0.7142857142857143
P1 Blocker,P3 Major,12,0.06030150753768844,0.17142857142857143
P1 Blocker,P4 Minor,4,0.020100502512562814,0.05714285714285714
P1 Blocker,P5 Trivial,4,0.020100502512562814,0.05714285714285714
P2 Critical,P1 Blocker,28,0.1414141414141414,0.4444444444444444
P2 Critical,P3 Major,17,0.08585858585858586,0.2698412698412698
P2 Critical,P4 Minor,12,0.06060606060606061,0.19047619047619047
P2 Critical,P5 Trivial,6,0.030303030303030304,0.09523809523809523
P3 Major,P4 Minor,15,0.075,0.6
P3 Major,P5 Trivial,6,0.03,0.24
P3 Major,P1 Blocker,3,0.015,0.12
P3 Major,P2 Critical,1,0.005,0.04
P4 Minor,P2 Critical,23,0.11557788944723618,0.36507936507936506
P4 Minor,P3 Major,21,0.10552763819095477,0.3333333333333333
P4 Minor,P5 Trivial,14,0.07035175879396985,0.2222222222222222
P4 Minor,P1 Blocker,5,0.02512562814070352,0.07936507936507936
P5 Trivial,P4 Minor,28,0.1407035175879397,0.5283018867924528
P5 Trivial,P3 Major,16,0.08040201005025126,0.3018867924528302
P5 Trivial,P2 Critical,8,0.04020100502512563,0.1509433962264151
P5 Trivial,P1 Blocker,1,0.005025125628140704,0.018867924528301886
