true_priority,predicted_priority,count,percent_of_true_class,percent_of_wrong_errors
P1 Blocker,P2 Critical,50,0.25125628140703515,0.7352941176470589
P1 Blocker,P3 Major,10,0.05025125628140704,0.14705882352941177
P1 Blocker,P4 Minor,5,0.02512562814070352,0.07352941176470588
P1 Blocker,P5 Trivial,3,0.01507537688442211,0.04411764705882353
P2 Critical,P1 Blocker,28,0.1414141414141414,0.4444444444444444
P2 Critical,P3 Major,15,0.07575757575757576,0.23809523809523808
P2 Critical,P4 Minor,14,0.0707070707070707,0.2222222222222222
P2 Critical,P5 Trivial,6,0.030303030303030304,0.09523809523809523
P3 Major,P4 Minor,15,0.075,0.6
P3 Major,P5 Trivial,6,0.03,0.24
P3 Major,P1 Blocker,4,0.02,0.16
P4 Minor,P3 Major,19,0.09547738693467336,0.3275862068965517
P4 Minor,P2 Critical,18,0.09045226130653267,0.3103448275862069
P4 Minor,P5 Trivial,14,0.07035175879396985,0.2413793103448276
P4 Minor,P1 Blocker,7,0.035175879396984924,0.1206896551724138
P5 Trivial,P4 Minor,29,0.1457286432160804,0.5471698113207547
P5 Trivial,P3 Major,16,0.08040201005025126,0.3018867924528302
P5 Trivial,P2 Critical,6,0.03015075376884422,0.11320754716981132
P5 Trivial,P1 Blocker,2,0.010050251256281407,0.03773584905660377
