stage,base_model_type,base_params,p1p2_model_type,p1p2_params,p1_sample_weight,p2p4_model_type,p2p4_params,p4_sample_weight,validation_objective,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_macro_recall,validation_min_recall,validation_off_by_one_accuracy,validation_mae,validation_p1_recall,validation_p2_recall,validation_p3_recall,validation_p4_recall,validation_p5_recall,natural_accuracy,natural_macro_f1,natural_weighted_f1,natural_macro_recall,natural_min_recall,natural_off_by_one_accuracy,natural_mae,natural_p1_recall,natural_p2_recall,natural_p3_recall,natural_p4_recall,natural_p5_recall
p1p2_p4_suppression,sgd_log,alpha=0.05,sgd_log,alpha=0.1,1.0,sgd_log,alpha=0.05,1.0,1.6150392061950138,0.6952,0.6933986769916898,0.6933986769916897,0.6952,0.624,0.9008,0.4472,0.624,0.624,0.896,0.628,0.704,0.7316582914572864,0.7309376699200638,0.7310795865409268,0.7314641388761991,0.6582914572864321,0.9025125628140703,0.4,0.6582914572864321,0.6818181818181818,0.875,0.7085427135678392,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.05,sgd_log,alpha=0.1,1.0,sgd_log,alpha=0.1,1.3,1.6129734548808934,0.6952,0.6933557581348222,0.6933557581348223,0.6952,0.62,0.9016,0.4456,0.624,0.62,0.896,0.632,0.704,0.7306532663316583,0.7298986885178624,0.7300406295877275,0.7304540378660981,0.6582914572864321,0.9015075376884422,0.4020100502512563,0.6582914572864321,0.6767676767676768,0.875,0.7085427135678392,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.05,sgd_log,alpha=0.1,1.0,sgd_log,alpha=0.05,1.3,1.6129734548808934,0.6952,0.6933557581348222,0.6933557581348223,0.6952,0.62,0.9016,0.4456,0.624,0.62,0.896,0.632,0.704,0.7316582914572864,0.7308693859808121,0.7310096727086528,0.7314590629917264,0.6582914572864321,0.9025125628140703,0.4,0.6582914572864321,0.6767676767676768,0.875,0.7135678391959799,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.05,sgd_log,alpha=0.1,1.0,sgd_log,alpha=0.1,1.0,1.6128618943227258,0.6944,0.6926364905378757,0.6926364905378756,0.6944000000000001,0.624,0.8992,0.4504,0.624,0.624,0.896,0.624,0.704,0.7316582914572864,0.7309180515379083,0.73105832598073,0.7314641388761991,0.6582914572864321,0.9015075376884422,0.4020100502512563,0.6582914572864321,0.6818181818181818,0.875,0.7085427135678392,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.05,sgd_log,alpha=0.1,1.0,sgd_log,alpha=0.03,1.0,1.6111396413814165,0.6944,0.6925660689690273,0.6925660689690272,0.6944000000000001,0.62,0.9008,0.4472,0.624,0.62,0.896,0.628,0.704,0.7306532663316583,0.7298768301495465,0.7300221045951323,0.7304489619816252,0.6582914572864321,0.9025125628140703,0.4,0.6582914572864321,0.6717171717171717,0.875,0.7135678391959799,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.05,sgd_log,alpha=0.1,1.0,sgd_log,alpha=0.1,1.6,1.605929000169697,0.6944,0.6925483336161615,0.6925483336161615,0.6944000000000001,0.616,0.9008,0.4472,0.624,0.616,0.896,0.632,0.704,0.7316582914572864,0.7308581846413374,0.7309968087965965,0.7314590629917264,0.6582914572864321,0.9035175879396985,0.39798994974874374,0.6582914572864321,0.6767676767676768,0.875,0.7135678391959799,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.1,sgd_log,alpha=0.1,1.0,sgd_log,alpha=0.05,1.0,1.6056006415531712,0.6944,0.6922010692552848,0.6922010692552848,0.6944000000000001,0.616,0.9016,0.448,0.624,0.616,0.896,0.624,0.712,0.7276381909547739,0.7267875443230765,0.726921767711502,0.7274389624892137,0.6532663316582915,0.9035175879396985,0.4020100502512563,0.6532663316582915,0.6767676767676768,0.875,0.6984924623115578,0.7336683417085427
p1p2_boundary,sgd_log,alpha=0.05,sgd_log,alpha=0.1,1.0,,,1.0,1.6052706696450036,0.6944,0.6926511160750058,0.6926511160750058,0.6944000000000001,0.616,0.8992,0.4504,0.624,0.632,0.896,0.616,0.704,0.7306532663316583,0.7300464924472622,0.7301916216195157,0.7304641896350439,0.6582914572864321,0.8994974874371859,0.40603015075376886,0.6582914572864321,0.6868686868686869,0.875,0.6984924623115578,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.1,sgd_log,alpha=0.1,1.0,sgd_log,alpha=0.1,1.0,1.6034186229004452,0.6936,0.6914310381674091,0.691431038167409,0.6936,0.616,0.9,0.4512,0.624,0.616,0.896,0.62,0.712,0.7276381909547739,0.7267668854854659,0.726899470810681,0.7274389624892137,0.6532663316582915,0.9025125628140703,0.4040201005025126,0.6532663316582915,0.6767676767676768,0.875,0.6984924623115578,0.7336683417085427
p1p2_boundary,sgd_log,alpha=0.05,sgd_log,alpha=0.05,1.0,,,1.0,1.6023368505160194,0.6928,0.6910947508600318,0.6910947508600317,0.6928000000000001,0.616,0.8992,0.4504,0.628,0.62,0.896,0.616,0.704,0.7256281407035176,0.7249005529908251,0.7250604735220143,0.7254187604690118,0.6532663316582915,0.8994974874371859,0.41105527638190953,0.6532663316582915,0.6666666666666666,0.875,0.6984924623115578,0.7336683417085427
